cpu_s,cv,expected_overtime_min,fitness,instance,loader_release_rule,max_decision_time_s,mean_cmax_min,mean_decision_time_s,mean_loader_utilization,mean_n_reoptimizations,mean_pad_dump_utilization,mean_pad_fine_tons,mean_plant_dump_utilization,mean_plant_fine_tons,mean_truck_wait_min,method,prob_finish_within_shift,prob_pad_target,prob_plant_target,replications,rollout_seed,sd_cmax_min,search_fitness,simulation_seed,tsi_evaluations,tsi_seed
0.16557390009984374,0.05,0.0,686.064484547715,I01,load_only,,686.064484547715,,,,,235.95,,865.975,,SimTSI-MC,1.0,1.0,1.0,500,,0.6914227536057324,685.9553549299224,500000,2,12345
0.23308670008555055,0.05,0.0,686.064484547715,I01,,,686.064484547715,,0.01021282708070274,,0.0029111371214618183,,0.002911751871722089,,0.0,SimTSI-DES,1.0,1.0,1.0,500,,0.6914227536057324,685.9553549299224,500000,2,12345
0.4429981999564916,0.05,0.0,,I01,,0.0,686.064484547715,0.0,0.01021282708070274,0,,,,,0.0,DynSimTSI-DES,1.0,1.0,1.0,500,900000,0.6914227536057324,,500000,,12345
0.33515379996970296,0.1,0.0,686.0280257671607,I01,load_only,,686.0280257671607,,,,,235.95,,865.975,,SimTSI-MC,1.0,1.0,1.0,500,,1.3810793248559627,685.7950042144565,500000,2,12345
0.20931890001520514,0.1,0.0,686.0280257671607,I01,,,686.0280257671607,,0.010223765617790342,,0.0029070234565551755,,0.0029084602497061528,,0.0,SimTSI-DES,1.0,1.0,1.0,500,,1.3810793248559627,685.7950042144565,500000,2,12345
0.41031399997882545,0.1,0.0,,I01,,0.0,686.0280257671607,0.0,0.010223765617790342,0,,,,,0.0,DynSimTSI-DES,1.0,1.0,1.0,500,900000,1.3810793248559627,,500000,,12345
0.17584670009091496,0.2,0.0,685.9620924385795,I01,load_only,,685.9620924385795,,,,,235.95,,865.975,,SimTSI-MC,1.0,1.0,1.0,500,,2.7560492814666606,685.4374736285704,500000,2,12345
0.21050829999148846,0.2,0.0,685.9620924385795,I01,,,685.9620924385795,,0.010247523914678189,,0.00289812623556444,,0.0029022134289159616,,0.0,SimTSI-DES,1.0,1.0,1.0,500,,2.7560492814666606,685.4374736285704,500000,2,12345
0.4118217001669109,0.2,0.0,,I01,,0.0,685.9620924385795,0.0,0.010247523914678189,0,,,,,0.0,DynSimTSI-DES,1.0,1.0,1.0,500,900000,2.7560492814666606,,500000,,12345
0.24515590001828969,0.3,0.0,685.9062768122199,I01,load_only,,685.9062768122199,,,,,235.95,,865.975,,SimTSI-MC,1.0,1.0,1.0,500,,4.12695068502202,685.0359904780711,500000,2,12345
0.48971210001036525,0.3,0.0,685.9062768122199,I01,,,685.9062768122199,,0.010273430381271102,,0.0028883837268365653,,0.002897062118819703,,0.0,SimTSI-DES,1.0,1.0,1.0,500,,4.12695068502202,685.0359904780711,500000,2,12345
0.7735193998087198,0.3,0.0,,I01,,0.0,685.9062768122199,0.0,0.010273430381271102,0,,,,,0.0,DynSimTSI-DES,1.0,1.0,1.0,500,900000,4.12695068502202,,500000,,12345
0.7289448000956327,0.05,0.0,1046.4370540097555,I02,load_only,,831.9370540097556,,,,,0,,865.9751,,SimTSI-MC,1.0,0.0,1.0,500,,0.6653936861059007,1046.3374769604384,500000,120,12345
0.7914110999554396,0.05,0.0,1046.4370540097555,I02,,,831.9370540097556,,0.009319286268236986,,0.0,,0.009619701044492071,,0.0,SimTSI-DES,1.0,0.0,1.0,500,,0.6653936861059007,1046.3374769604384,500000,120,12345
1.1955196000635624,0.05,0.0,,I02,,0.0,831.9370540097556,0.0,0.009319286268236986,0,,,,,0.0,DynSimTSI-DES,1.0,0.0,1.0,500,900000,0.6653936861059007,,500000,,12345
0.6310437000356615,0.1,0.0,1046.4526623803654,I02,load_only,,831.9526623803654,,,,,0,,865.9751,,SimTSI-MC,1.0,0.0,1.0,500,,1.3349535395153371,1046.2260443689486,500000,120,12345
1.108406700193882,0.1,0.0,1046.4526623803654,I02,,,831.9526623803654,,0.009322933484426466,,0.0,,0.009622558376148274,,0.0,SimTSI-DES,1.0,0.0,1.0,500,,1.3349535395153371,1046.2260443689486,500000,120,12345
1.231011499883607,0.1,0.0,,I02,,0.0,831.9526623803654,0.0,0.009322933484426466,0,,,,,0.0,DynSimTSI-DES,1.0,0.0,1.0,500,900000,1.3349535395153371,,500000,,12345
0.678485699929297,0.2,0.0,1046.4823639323884,I02,load_only,,831.9823639323884,,,,,0,,865.9751,,SimTSI-MC,1.0,0.0,1.0,500,,2.6864058335048093,1045.9233553256895,500000,120,12345
